age,decile_score,priors_count,days_b_screening_arrest,c_days_from_compas,juv_count,sex_Male,age_cat_Greater than 45,age_cat_Less than 25,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,c_charge_degree_M,c_cat_battery,c_cat_burglary,c_cat_cannabis,c_cat_driving,c_cat_grand theft,c_cat_lewdness,c_cat_mischief,c_cat_no charge,c_cat_other,c_cat_poss,c_cat_resisting,c_cat_sexual,c_cat_tampering,weapon_firearm_True,age2,age3,decile_score2,decile_score3,priors_count2,priors_count3,juv_count2,juv_count3
41,9,3,0.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1681,68921,81,729,9,27,0,0
31,7,6,-1.0,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,961,29791,49,343,36,216,0,0
26,3,0,-1.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,676,17576,9,27,0,0,0,0
63,1,1,-9.0,9.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3969,250047,1,1,1,1,0,0
51,1,0,-1.0,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2601,132651,1,1,0,0,0,0
31,9,0,-1.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,961,29791,81,729,0,0,0,0
25,9,11,-1.0,1.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,625,15625,81,729,121,1331,0,0
48,1,0,0.0,0.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,110592,1,1,0,0,0,0
43,9,0,-1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1849,79507,81,729,0,0,0,0
24,4,0,-1.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,576,13824,16,64,0,0,0,0
43,6,1,-1.0,1.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1849,79507,36,216,1,1,0,0
58,7,7,-1.0,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3364,195112,49,343,49,343,0,0
31,1,0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,961,29791,1,1,0,0,0,0
22,6,0,-1.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,484,10648,36,216,0,0,0,0
34,2,3,-6.0,6.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,39304,4,8,9,27,0,0
57,1,0,0.0,1.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3249,185193,1,1,0,0,0,0
44,7,16,-1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1936,85184,49,343,256,4096,1,1
20,8,0,-1.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,400,8000,64,512,0,0,0,0
37,2,1,-1.0,1.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,50653,4,8,1,1,0,0
23,3,0,-1.0,1.0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,529,12167,9,27,0,0,0,0
26,2,2,-1.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,676,17576,4,8,4,8,0,0
26,1,0,-1.0,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,676,17576,1,1,0,0,0,0
23,10,2,16.0,20.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,529,12167,100,1000,4,8,0,0
53,1,0,-1.0,1.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2809,148877,1,1,0,0,0,0
35,1,0,-1.0,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1225,42875,1,1,0,0,0,0
20,6,2,-2.0,2.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,400,8000,36,216,4,8,0,0
29,8,8,-1.0,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,841,24389,64,512,64,512,4,8
38,1,1,-1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1444,54872,1,1,1,1,0,0
25,2,1,-1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,625,15625,4,8,1,1,0,0
33,3,2,-1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1089,35937,9,27,4,8,0,0
54,6,3,-1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2916,157464,36,216,9,27,0,0
48,3,2,-1.0,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2304,110592,9,27,4,8,0,0
31,2,1,-1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,961,29791,4,8,1,1,0,0
25,9,15,-1.0,1.0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,625,15625,81,729,225,3375,4,8
23,3,1,-1.0,1.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,529,12167,9,27,1,1,0,0
28,9,7,-1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,784,21952,81,729,49,343,0,0
39,3,1,-1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1521,59319,9,27,1,1,0,0
50,1,1,-1.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2500,125000,1,1,1,1,0,0
35,9,8,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1225,42875,81,729,64,512,1,1
45,7,0,-1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025,91125,49,343,0,0,0,0
27,8,11,-1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,729,19683,64,512,121,1331,1,1
41,1,8,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1681,68921,1,1,64,512,0,0
36,2,1,-19.0,19.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1296,46656,4,8,1,1,0,0
33,4,1,-1.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,35937,16,64,1,1,0,0
42,1,1,-10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1764,74088,1,1,1,1,0,0
31,1,1,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,961,29791,1,1,1,1,0,0
44,3,6,0.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1936,85184,9,27,36,216,0,0
50,3,7,-1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2500,125000,9,27,49,343,0,0
33,9,0,0.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1089,35937,81,729,0,0,0,0
27,2,1,-1.0,1.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,729,19683,4,8,1,1,0,0
28,2,0,-1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,784,21952,4,8,0,0,0,0
40,9,0,-1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1600,64000,81,729,0,0,0,0
24,9,0,-1.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,576,13824,81,729,0,0,0,0
30,7,3,-1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,900,27000,49,343,9,27,0,0
46,2,2,-14.0,14.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2116,97336,4,8,4,8,0,0
26,2,0,-1.0,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,676,17576,4,8,0,0,0,0
20,2,3,-1.0,1.0,3,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,400,8000,4,8,9,27,9,27
30,6,4,-1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,900,27000,36,216,16,64,1,1
49,1,4,-11.0,16.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2401,117649,1,1,16,64,0,0
27,6,7,-1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,729,19683,36,216,49,343,0,0
24,4,8,-1.0,1.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,576,13824,16,64,64,512,0,0
55,1,2,-12.0,12.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3025,166375,1,1,4,8,0,0
39,2,1,-1.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1521,59319,4,8,1,1,0,0
27,2,1,-1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,729,19683,4,8,1,1,0,0
27,2,0,-1.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,729,19683,4,8,0,0,0,0
60,1,0,-1.0,1.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,216000,1,1,0,0,0,0
49,4,4,-26.0,26.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2401,117649,16,64,16,64,0,0
49,1,0,-1.0,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2401,117649,1,1,0,0,0,0
29,4,2,-1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,841,24389,16,64,4,8,0,0
46,5,9,0.0,1.0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2116,97336,25,125,81,729,0,0
63,1,0,-1.0,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3969,250047,1,1,0,0,0,0
30,5,2,-1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,900,27000,25,125,4,8,0,0
49,1,1,-1.0,1.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2401,117649,1,1,1,1,0,0
62,1,0,0.0,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3844,238328,1,1,0,0,0,0
37,2,2,-12.0,12.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1369,50653,4,8,4,8,0,0
20,4,0,-1.0,1.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,400,8000,16,64,0,0,0,0
53,5,6,-1.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2809,148877,25,125,36,216,0,0
25,6,3,-1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,625,15625,36,216,9,27,0,0
24,9,7,-1.0,1.0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,576,13824,81,729,49,343,4,8
36,1,0,-1.0,1.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,46656,1,1,0,0,0,0
33,2,0,-1.0,1.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,35937,4,8,0,0,0,0
47,8,3,-1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2209,103823,64,512,9,27,0,0
38,9,15,-1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1444,54872,81,729,225,3375,0,0
26,2,0,-1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,676,17576,4,8,0,0,0,0
35,1,0,-1.0,1.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,42875,1,1,0,0,0,0
26,8,4,-1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,676,17576,64,512,16,64,0,0
27,4,4,-1.0,1.0,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,729,19683,16,64,16,64,16,64
24,3,1,0.0,0.0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,576,13824,9,27,1,1,0,0
37,9,20,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1369,50653,81,729,400,8000,0,0
22,7,0,0.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,484,10648,49,343,0,0,0,0
24,4,1,0.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,576,13824,16,64,1,1,0,0
25,6,7,-1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,625,15625,36,216,49,343,0,0
28,1,0,-1.0,1.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,784,21952,1,1,0,0,0,0
45,1,0,-1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025,91125,1,1,0,0,0,0
22,5,1,-1.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,484,10648,25,125,1,1,0,0
21,7,4,-1.0,1.0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,441,9261,49,343,16,64,1,1
23,6,3,0.0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,12167,36,216,9,27,4,8
30,10,5,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,900,27000,100,1000,25,125,0,0
34,2,2,-1.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1156,39304,4,8,4,8,0,0
50,1,1,-4.0,4.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2500,125000,1,1,1,1,0,0
25,7,3,-24.0,23.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,625,15625,49,343,9,27,0,0
26,2,0,-1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,676,17576,4,8,0,0,0,0
56,1,0,0.0,1.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3136,175616,1,1,0,0,0,0
33,5,3,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1089,35937,25,125,9,27,0,0
21,8,1,0.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,441,9261,64,512,1,1,0,0
31,2,9,-1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,961,29791,4,8,81,729,0,0
34,6,1,-1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1156,39304,36,216,1,1,0,0
22,10,13,-1.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,484,10648,100,1000,169,2197,1,1
25,7,6,-1.0,1.0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,625,15625,49,343,36,216,1,1
24,8,1,0.0,1.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,576,13824,64,512,1,1,0,0
40,1,0,-1.0,1.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,64000,1,1,0,0,0,0
37,3,2,-1.0,1.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1369,50653,9,27,4,8,1,1
34,6,5,0.0,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,39304,36,216,25,125,1,1
40,5,4,-1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1600,64000,25,125,16,64,0,0
28,8,16,-1.0,1.0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,784,21952,64,512,256,4096,81,729
27,2,3,-1.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,729,19683,4,8,9,27,0,0
37,1,3,-1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1369,50653,1,1,9,27,0,0
